K=[abcd], qubit, qumode, single_gate, two_gate, total_gate, depth, latency
[-0-0-0-0], 0, 0, 0, 0, 0, 0, 0

[-1-0-0-0], 1, 1, 0, 1, 1, 1, 20
[-0-1-0-0], 1, 1, 0, 1, 1, 1, 20
[-0-0-1-0], 1, 1, 1, 0, 1, 1, 20
[-0-0-0-1], 1, 1, 0, 1, 1, 1, 20
[+1-0-0-0], 1, 1, 0, 1, 1, 1, 20
[-0+1-0-0], 1, 1, 0, 1, 1, 1, 20
[-0-0+1-0], 1, 1, 1, 0, 1, 1, 20
[-0-0-0+1], 1, 1, 0, 1, 1, 1, 20

[-0-1-1-0], 2, 2, 40, 8, 48, 24, 100
[-0-1-0-1], 2, 2, 40, 8, 48, 24, 100
[-0-0-1-1], 2, 2, 40, 8, 48, 24, 100
[-1-0-1-0], 2, 2, 40, 8, 48, 24, 100
[-1-0-0-1], 2, 2, 40, 8, 48, 24, 100
[-1-1-0-0], 2, 2, 40, 8, 48, 24, 100
[-0+1+1-0], 2, 2, 40, 8, 48, 24, 100
[-0+1-0+1], 2, 2, 40, 8, 48, 24, 100
[-0-0+1+1], 2, 2, 40, 8, 48, 24, 100
[+1-0+1-0], 2, 2, 40, 8, 48, 24, 100
[+1-0-0+1], 2, 2, 40, 8, 48, 24, 100
[+1+1-0-0], 2, 2, 40, 8, 48, 24, 100    

[-0-1+1-0], 1, 2, 0, 1, 1, 1, 20
[-0-1-0+1], 1, 2, 0, 1, 1, 1, 20
[-0+1-1-0], 1, 2, 0, 1, 1, 1, 20
[-0+1-0-1], 1, 2, 0, 1, 1, 1, 20
[-0-0-1+1], 1, 2, 0, 1, 1, 1, 20
[-0-0+1-1], 1, 2, 0, 1, 1, 1, 20
[-1-0+1-0], 1, 2, 0, 1, 1, 1, 20
[-1-0-0+1], 1, 2, 0, 1, 1, 1, 20
[-1+1-0-0], 1, 2, 0, 1, 1, 1, 20
[+1-0-1-0], 1, 2, 0, 1, 1, 1, 20
[+1-0-0-1], 1, 2, 0, 1, 1, 1, 20
[+1-1-0-0], 1, 2, 0, 1, 1, 1, 20

[-2-0-0-0], 2, 1, 40, 8, 48, 27, 179
[-0-2-0-0], 2, 1, 40, 8, 48, 27, 179
[-0-0-2-0], 2, 1, 40, 8, 48, 27, 179
[-0-0-0-2], 2, 1, 40, 8, 48, 27, 179
[+2-0-0-0], 2, 1, 40, 8, 48, 27, 179
[-0+2-0-0], 2, 1, 40, 8, 48, 27, 179
[-0-0+2-0], 2, 1, 40, 8, 48, 27, 179
[-0-0-0+2], 2, 1, 40, 8, 48, 27, 179

[-0-1-1-1], 10, 3, 192, 36, 228, 58, 362
[-1-1-1-0], 10, 3, 192, 36, 228, 58, 362
[-1-1-0-1], 10, 3, 192, 36, 228, 58, 362
[-1-0-1-1], 10, 3, 192, 36, 228, 58, 362
[+1+1+1-0], 10, 3, 192, 36, 228, 58, 362
[+1+1-0+1], 10, 3, 192, 36, 228, 58, 362
[+1-0+1+1], 10, 3, 192, 36, 228, 58, 362
[-0+1+1+1], 10, 3, 192, 36, 228, 58, 362

[-1+1+1-0], 6, 3, 108, 26, 134, 37, 303
[-1+1-0+1], 6, 3, 108, 26, 134, 37, 303
[-1-0+1+1], 6, 3, 108, 26, 134, 37, 303
[+1-1+1-0], 6, 3, 108, 26, 134, 37, 303
[+1-1-0+1], 6, 3, 108, 26, 134, 37, 303
[+1+1-1-0], 6, 3, 108, 26, 134, 37, 303
[+1+1-0-1], 6, 3, 108, 26, 134, 37, 303
[+1-0-1+1], 6, 3, 108, 26, 134, 37, 303
[+1-0+1-1], 6, 3, 108, 26, 134, 37, 303
[-0-1+1+1], 6, 3, 108, 26, 134, 37, 303
[-0+1-1+1], 6, 3, 108, 26, 134, 37, 303
[-0+1+1-1], 6, 3, 108, 26, 134, 37, 303
[-1+1-1-0], 6, 3, 108, 26, 134, 37, 303
[-1+1-0-1], 6, 3, 108, 26, 134, 37, 303
[-1-1+1-0], 6, 3, 108, 26, 134, 37, 303
[-1-1-0+1], 6, 3, 108, 26, 134, 37, 303
[-1-0+1-1], 6, 3, 108, 26, 134, 37, 303
[-1-0-1+1], 6, 3, 108, 26, 134, 37, 303
[+1-1-1-0], 6, 3, 108, 26, 134, 37, 303
[+1-1-0-1], 6, 3, 108, 26, 134, 37, 303
[+1-0-1-1], 6, 3, 108, 26, 134, 37, 303
[-0-1+1-1], 6, 3, 108, 26, 134, 37, 303
[-0-1-1+1], 6, 3, 108, 26, 134, 37, 303
[-0+1-1-1], 6, 3, 108, 26, 134, 37, 303

[-2-1-0-0], 10, 2, 192, 36, 228, 98, 706
[-2-0-1-0], 10, 2, 192, 36, 228, 98, 706
[-2-0-0-1], 10, 2, 192, 36, 228, 98, 706
[-1-2-0-0], 10, 2, 192, 36, 228, 98, 706
[-1-0-2-0], 10, 2, 192, 36, 228, 98, 706
[-1-0-0-2], 10, 2, 192, 36, 228, 98, 706
[-0-2-1-0], 10, 2, 192, 36, 228, 98, 706
[-0-2-0-1], 10, 2, 192, 36, 228, 98, 706
[-0-1-2-0], 10, 2, 192, 36, 228, 98, 706
[-0-1-0-2], 10, 2, 192, 36, 228, 98, 706
[-0-0-2-1], 10, 2, 192, 36, 228, 98, 706
[-0-0-1-2], 10, 2, 192, 36, 228, 98, 706
[+2+1-0-0], 10, 2, 192, 36, 228, 98, 706
[+2-0+1-0], 10, 2, 192, 36, 228, 98, 706
[+2-0-0+1], 10, 2, 192, 36, 228, 98, 706
[+1+2-0-0], 10, 2, 192, 36, 228, 98, 706
[+1-0+2-0], 10, 2, 192, 36, 228, 98, 706
[+1-0-0+2], 10, 2, 192, 36, 228, 98, 706
[-0+2+1-0], 10, 2, 192, 36, 228, 98, 706
[-0+2-0+1], 10, 2, 192, 36, 228, 98, 706
[-0+1+2-0], 10, 2, 192, 36, 228, 98, 706
[-0+1-0+2], 10, 2, 192, 36, 228, 98, 706
[-0-0+2+1], 10, 2, 192, 36, 228, 98, 706
[-0-0+1+2], 10, 2, 192, 36, 228, 98, 706

[-2+1-0-0], 10, 2, 190, 38, 228, 98, 706
[-2-0+1-0], 10, 2, 190, 38, 228, 98, 706
[-2-0-0+1], 10, 2, 190, 38, 228, 98, 706
[+1-2-0-0], 10, 2, 190, 38, 228, 98, 706
[+1-0-2-0], 10, 2, 190, 38, 228, 98, 706
[+1-0-0-2], 10, 2, 190, 38, 228, 98, 706
[-0-2+1-0], 10, 2, 190, 38, 228, 98, 706
[-0-2-0+1], 10, 2, 190, 38, 228, 98, 706
[-0+1-2-0], 10, 2, 190, 38, 228, 98, 706
[-0+1-0-2], 10, 2, 190, 38, 228, 98, 706
[-0-0-2+1], 10, 2, 190, 38, 228, 98, 706
[-0-0+1-2], 10, 2, 190, 38, 228, 98, 706
[+2-1-0-0], 10, 2, 190, 38, 228, 98, 706
[+2-0-1-0], 10, 2, 190, 38, 228, 98, 706
[+2-0-0-1], 10, 2, 190, 38, 228, 98, 706
[-1+2-0-0], 10, 2, 190, 38, 228, 98, 706
[-1-0+2-0], 10, 2, 190, 38, 228, 98, 706
[-1-0-0+2], 10, 2, 190, 38, 228, 98, 706
[-0+2-1-0], 10, 2, 190, 38, 228, 98, 706
[-0+2-0-1], 10, 2, 190, 38, 228, 98, 706
[-0-1+2-0], 10, 2, 190, 38, 228, 98, 706
[-0-1-0+2], 10, 2, 190, 38, 228, 98, 706
[-0-0+2-1], 10, 2, 190, 38, 228, 98, 706
[-0-0-1+2], 10, 2, 190, 38, 228, 98, 706

[-3-0-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-3-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-3-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-0-3], 10, 1, 192, 36, 228, 111, 795
[+3-0-0-0], 10, 1, 192, 36, 228, 111, 795
[-0+3-0-0], 10, 1, 192, 36, 228, 111, 795
[-0-0+3-0], 10, 1, 192, 36, 228, 111, 795
[-0-0-0+3], 10, 1, 192, 36, 228, 111, 795

[-1-1-1-1], 42, 4, 800, 148, 948, 226, 1442
[+1+1+1+1], 42, 4, 800, 148, 948, 226, 1442

[-1-1-1+1], 42, 4, 798, 150, 948, 226, 1442
[-1-1+1-1], 42, 4, 798, 150, 948, 226, 1442
[-1+1-1-1], 42, 4, 798, 150, 948, 226, 1442
[+1-1-1-1], 42, 4, 798, 150, 948, 226, 1442
[-1+1+1+1], 42, 4, 798, 150, 948, 226, 1442
[+1-1+1+1], 42, 4, 798, 150, 948, 226, 1442
[+1+1-1+1], 42, 4, 798, 150, 948, 226, 1442
[+1+1+1-1], 42, 4, 798, 150, 948, 226, 1442

[-1-1+1+1], 42, 4, 790, 158, 948, 226, 1442
[-1+1-1+1], 42, 4, 790, 158, 948, 226, 1442
[-1+1+1-1], 42, 4, 790, 158, 948, 226, 1442
[+1-1-1+1], 42, 4, 790, 158, 948, 226, 1442
[+1-1+1-1], 42, 4, 790, 158, 948, 226, 1442
[+1+1-1-1], 42, 4, 790, 158, 948, 226, 1442

[-2-1-1-0], 42, 3, 800, 148, 948, 386, 2818
[-2-1-0-1], 42, 3, 800, 148, 948, 386, 2818
[-2-0-1-1], 42, 3, 800, 148, 948, 386, 2818
[-1-2-1-0], 42, 3, 800, 148, 948, 386, 2818
[-1-2-0-1], 42, 3, 800, 148, 948, 386, 2818
[-1-1-2-0], 42, 3, 800, 148, 948, 386, 2818
[-1-1-0-2], 42, 3, 800, 148, 948, 386, 2818
[-1-0-2-1], 42, 3, 800, 148, 948, 386, 2818
[-1-0-1-2], 42, 3, 800, 148, 948, 386, 2818
[-0-2-1-1], 42, 3, 800, 148, 948, 386, 2818
[-0-1-2-1], 42, 3, 800, 148, 948, 386, 2818
[-0-1-1-2], 42, 3, 800, 148, 948, 386, 2818
[+2+1+1-0], 42, 3, 800, 148, 948, 386, 2818
[+2+1-0+1], 42, 3, 800, 148, 948, 386, 2818
[+2-0+1+1], 42, 3, 800, 148, 948, 386, 2818
[+1+2+1-0], 42, 3, 800, 148, 948, 386, 2818
[+1+2-0+1], 42, 3, 800, 148, 948, 386, 2818
[+1+1+2-0], 42, 3, 800, 148, 948, 386, 2818
[+1+1-0+2], 42, 3, 800, 148, 948, 386, 2818
[+1-0+2+1], 42, 3, 800, 148, 948, 386, 2818
[+1-0+1+2], 42, 3, 800, 148, 948, 386, 2818
[-0+2+1+1], 42, 3, 800, 148, 948, 386, 2818
[-0+1+2+1], 42, 3, 800, 148, 948, 386, 2818
[-0+1+1+2], 42, 3, 800, 148, 948, 386, 2818

[-2-1+1-0], 42, 3, 798, 150, 948, 386, 2818
[-2-1-0+1], 42, 3, 798, 150, 948, 386, 2818
[-2+1-1-0], 42, 3, 798, 150, 948, 386, 2818
[-2+1-0-1], 42, 3, 798, 150, 948, 386, 2818
[-2-0-1+1], 42, 3, 798, 150, 948, 386, 2818
[-2-0+1-1], 42, 3, 798, 150, 948, 386, 2818
[-1-2+1-0], 42, 3, 798, 150, 948, 386, 2818
[-1-2-0+1], 42, 3, 798, 150, 948, 386, 2818
[-1+1-2-0], 42, 3, 798, 150, 948, 386, 2818
[-1+1-0-2], 42, 3, 798, 150, 948, 386, 2818
[-1-0-2+1], 42, 3, 798, 150, 948, 386, 2818
[-1-0+1-2], 42, 3, 798, 150, 948, 386, 2818
[+1-2-1-0], 42, 3, 798, 150, 948, 386, 2818
[+1-2-0-1], 42, 3, 798, 150, 948, 386, 2818
[+1-1-2-0], 42, 3, 798, 150, 948, 386, 2818
[+1-1-0-2], 42, 3, 798, 150, 948, 386, 2818
[+1-0-2-1], 42, 3, 798, 150, 948, 386, 2818
[+1-0-1-2], 42, 3, 798, 150, 948, 386, 2818
[-0-2-1+1], 42, 3, 798, 150, 948, 386, 2818
[-0-2+1-1], 42, 3, 798, 150, 948, 386, 2818
[-0-1-2+1], 42, 3, 798, 150, 948, 386, 2818
[-0-1+1-2], 42, 3, 798, 150, 948, 386, 2818
